frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.981892,  1, 0.475693, 0, 0.1912, 0, 0, 0, 0.0753854, 0, 0, 0, 0, 0, 0.186225, 0, 0.117957, 0.425867, 0.381214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
2,  0.05,  0.977348,  1, 0.702496, 0, 0.220913, 0, 0, 0.0509197, 0.0352037, 0, 0, 0.0294903, 0, 0.0185969, 0.139866, 0, 0.0930272, 0.390316, 0.375687, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
3,  0.1,  0.977357,  1, 0.807373, 0.0055212, 0.176391, 0, 0, 0.0509197, 0.0100752, 0, 0, 0.0294903, 0, 0.0185969, 0.0777913, 0, 0.143962, 0.32651, 0.361745, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1
4,  0.15,  0.979447,  1, 0.745465, 0.0055212, 0.185237, 0, 0, 0.0325843, 0, 0, 0, 0.0294903, 0, 0.0423263, 0.0307514, 0, 0.107594, 0.274689, 0.378611, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
5,  0.2,  0.978972,  1, 0.755875, 0.0055212, 0.171866, 0, 0, 0.118993, 0, 0, 0, 0, 0, 0.0423263, 0, 0, 0.187245, 0.33229, 0.393247, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
6,  0.25,  0.979354,  1, 0.83278, 0, 0.277511, 0, 0, 0.118993, 0, 0, 0, 0, 0, 0.0423263, 0, 0, 0.207751, 0.337204, 0.432204, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
7,  0.3,  0.978289,  1, 0.931389, 0, 0.267796, 0, 0, 0.0864087, 0, 0, 0, 0, 0, 0, 0, 0, 0.24318, 0.480038, 0.417312, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
8,  0.35,  0.979688,  1, 0.974142, 0, 0.216999, 0, 0, 0, 0, 0, 0, 0.0359821, 0, 0.0495757, 0, 0, 0.236313, 0.482746, 0.414588, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1
9,  0.4,  0.97409,  1, 0.924806, 0, 0.0921422, 0, 0, 0.00402417, 0, 0, 0, 0.0866856, 0, 0.118694, 0, 0, 0.201734, 0.646221, 0.38942, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1
10,  0.45,  0.976514,  1, 0.88596, 0, 0.157452, 0, 0, 0.00402417, 0, 0, 0, 0.0991392, 0, 0.143659, 0, 0, 0.27785, 0.617988, 0.420398, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
