frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.939702,  1, 0.917649, 0.155883, 0, 0.105755, 0.68615, 0.561471, 0.112543, 0, 1.40526, 1.12291, 0, 0, 0, 0, 0.321448, 0.168339, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
2,  0.05005,  0.954197,  1, 0.818141, 0.153508, 0, 0.0731588, 0.56466, 0.31107, 0.0667213, 0.0493035, 1.41406, 1.24612, 0, 0, 0, 0, 0.273229, 0.0561129, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
3,  0.1001,  0.957251,  1, 0.760951, 0.101547, 0, 0.0379072, 0.520452, 0.41453, 0.0631276, 0.0881126, 1.37621, 1.22298, 0.00571119, 0, 0, 0, 0.33474, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
4,  0.15015,  0.96294,  1, 0.677642, 0.0232488, 0, 0.0379072, 0.568551, 0.656167, 0.066423, 0.1573, 1.34834, 1.18795, 0.00571119, 0, 0, 0, 0.443975, 0, 0.0123134, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
5,  0.2002,  0.959814,  1, 0.694567, 0.0145175, 0, 0.0509477, 0.512567, 0.607271, 0.108958, 0.180133, 1.27339, 1.11264, 0.00571119, 0.0399564, 0.00333796, 0, 0.493486, 0, 0.0123134, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
6,  0.25025,  0.9571,  1, 0.693628, 0.0145175, 0, 0.0509477, 0.466342, 0.543893, 0.0928277, 0.206952, 1.2876, 1.10905, 0, 0.0651168, 0.00333796, 0, 0.418925, 0, 0.0123134, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
7,  0.3003,  0.951917,  1, 0.784472, 0.0145175, 0, 0.0509477, 0.450456, 0.558849, 0.0990754, 0.174257, 1.31321, 1.05754, 0, 0.0758432, 0.00333796, 0, 0.504627, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
8,  0.35035,  0.948165,  1, 0.756505, 0.022219, 0, 0.0496609, 0.503242, 0.696998, 0.0347329, 0.102121, 1.31667, 0.979839, 0, 0.0358868, 0, 0, 0.371017, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
9,  0.4004,  0.953227,  1, 0.685447, 0.112855, 0, 0.0496609, 0.574281, 0.520274, 0.0368284, 0.0482413, 1.31102, 1.01408, 0, 0.0107265, 0.0459602, 0, 0.305982, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
10,  0.45045,  0.956772,  1, 0.654744, 0.165947, 0, 0.0496609, 0.539819, 0.359165, 0.0198854, 0.0607948, 1.27744, 1.00408, 0, 0, 0.177084, 0, 0.216885, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
11,  0.5005,  0.952336,  1, 0.652562, 0.245341, 0, 0, 0.556289, 0.29075, 0.0524541, 0.124538, 1.28056, 1.11324, 0, 0.0300023, 0.183001, 0, 0.232449, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
12,  0.55055,  0.954889,  1, 0.739639, 0.295022, 0, 0.00743202, 0.502441, 0.403229, 0.068685, 0.152505, 1.30649, 1.18545, 0, 0.0300023, 0.145231, 0, 0.406768, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
13,  0.6006,  0.957752,  1, 0.788639, 0.24193, 0, 0.00743202, 0.521229, 0.595861, 0.0823797, 0.11529, 1.28417, 1.25916, 0, 0.0300023, 0.0141069, 0, 0.504605, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
14,  0.65065,  0.957576,  1, 0.769176, 0.140317, 0, 0.0554868, 0.420818, 0.549018, 0.049811, 0.0515467, 1.2406, 1.21537, 0, 0, 0.0783343, 0, 0.497609, 0.034267, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
15,  0.7007,  0.948038,  1, 0.745663, 0.00676316, 0, 0.0861777, 0.429772, 0.472665, 0.0179167, 0.0293922, 1.15147, 1.13305, 0, 0.057648, 0.115197, 0, 0.423114, 0.034267, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
16,  0.75075,  0.957138,  1, 0.754013, 0.109224, 0, 0.09123, 0.429456, 0.382625, 0.0439614, 0.0445919, 1.15128, 1.21315, 0, 0.205691, 0.115197, 0, 0.281193, 0.034267, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
17,  0.8008,  0.961201,  1, 0.744055, 0.109224, 0, 0.0431753, 0.496674, 0.350645, 0.0949595, 0.0720309, 1.19999, 1.25167, 0, 0.290511, 0.0775734, 0, 0.258312, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
18,  0.85085,  0.952582,  1, 0.704239, 0.102461, 0, 0.0168775, 0.484397, 0.500067, 0.17382, 0.112281, 1.22233, 1.27557, 0, 0.271543, 0.0396041, 0, 0.277029, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
19,  0.9009,  0.954431,  1, 0.609397, 0, 0, 0.0118251, 0.454228, 0.411733, 0.13408, 0.117046, 1.20145, 1.15325, 0, 0.1235, 0.05347, 0, 0.295532, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
20,  0.95095,  0.955346,  1, 0.541525, 0, 0, 0.0118251, 0.44833, 0.561858, 0.12361, 0.151318, 1.14966, 1.05432, 0, 0.0386804, 0.134881, 0, 0.272352, 0, 0.00541143, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
21,  1.001,  0.952937,  1, 0.598694, 0, 0, 0, 0.45116, 0.483956, 0.107765, 0.171341, 1.09715, 1.03019, 0, 0, 0.231083, 0, 0.141272, 0, 0.01368, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
22,  1.05105,  0.957889,  1, 0.532738, 0, 0, 0, 0.439848, 0.398178, 0.107765, 0.144927, 1.07486, 1.10601, 0.106312, 0.175683, 0.217218, 0, 0.0610138, 0, 0.01368, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
23,  1.1011,  0.957541,  1, 0.561063, 0.00478515, 0, 0, 0.433634, 0.337727, 0.104789, 0.129319, 1.09384, 1.28443, 0.106312, 0.207118, 0.146849, 0, 0.0973211, 0, 0.00826858, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
24,  1.15115,  0.95102,  1, 0.5552, 0.00478515, 0, 0, 0.384421, 0.330785, 0.0431435, 0.0514844, 1.11643, 1.33647, 0.106312, 0.207118, 0.0435625, 0, 0.214293, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
25,  1.2012,  0.956651,  1, 0.785446, 0.0296657, 0, 0, 0.416823, 0.439942, 0.113882, 0.0938364, 1.13536, 1.3191, 0, 0.0572994, 0.0940912, 0, 0.330921, 0.0872363, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
