frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.962948,  1, 0, 0, 0, 0.202641, 0.266337, 0.678366, 0, 0.164905, 1.32974, 1.25128, 0.251603, 0, 0, 0.236442, 0, 0.278889, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
2,  0.0555556,  0.953308,  1, 0, 0.0174544, 0, 0.067547, 0.210276, 0.737388, 0, 0.207235, 1.265, 1.16765, 0.216813, 0.0418092, 0.140739, 0.3022, 0.0446417, 0.285217, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
3,  0.111111,  0.955807,  1, 0, 0.0719869, 0, 0.0433487, 0.269486, 0.736677, 0, 0.317359, 1.24309, 1.19067, 0.204933, 0.0418092, 0.337027, 0.316035, 0.126389, 0.202211, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
4,  0.166667,  0.961144,  1, 0, 0.0782794, 0, 0.139402, 0.269646, 0.599873, 0, 0.165092, 1.19547, 1.1745, 0.305521, 0.0418092, 0.29233, 0.308041, 0.193672, 0.347914, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
5,  0.222222,  0.955385,  1, 0, 0.151243, 0, 0.290325, 0.307569, 0.488763, 0, 0.205655, 1.2235, 1.13987, 0.368488, 0.0063784, 0.306278, 0.291364, 0.2397, 0.586296, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
6,  0.277778,  0.948257,  1, 0, 0.0967107, 0, 0.318006, 0.264554, 0.379115, 0, 0.10888, 1.20779, 1.09533, 0.548239, 0.0063784, 0.139087, 0.304117, 0.199351, 0.772904, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
7,  0.333333,  0.957771,  1, 0, 0.0904182, 0, 0.248227, 0.266652, 0.468186, 0, 0.259643, 1.19772, 1.0438, 0.497494, 0.0063784, 0.23127, 0.273037, 0.201813, 0.711507, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
8,  0.388889,  0.957917,  1, 0, 0, 0, 0.261711, 0.301655, 0.69113, 0, 0.367013, 1.20457, 1.04859, 0.301582, 0.0769235, 0.144927, 0.322439, 0.147139, 0.647704, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
9,  0.444444,  0.951102,  1, 0, 0, 0, 0.19068, 0.319948, 0.766942, 0, 0.399744, 1.21817, 1.08256, 0.108634, 0.0769235, 0.185778, 0.3022, 0.185323, 0.729579, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
10,  0.5,  0.950585,  1, 0, 0, 0, 0.169594, 0.349765, 0.806902, 0, 0.485764, 1.26821, 1.07042, 0.123971, 0.0769235, 0.155833, 0.294504, 0.163511, 0.711252, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
11,  0.555556,  0.96458,  1, 0, 0, 0, 0.0559754, 0.303988, 0.658182, 0, 0.546448, 1.2376, 1.05568, 0.123971, 0, 0.26761, 0.302829, 0.183227, 0.538099, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
12,  0.611111,  0.952832,  1, 0, 0, 0, 0.0940907, 0.26439, 0.768665, 0, 0.574485, 1.2269, 0.910497, 0.0651803, 0, 0.35003, 0.304115, 0.30706, 0.416199, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
13,  0.666667,  0.951326,  1, 0, 0.0103996, 0, 0.115215, 0.186531, 0.658328, 0, 0.403983, 1.2036, 0.937039, 0, 0, 0.264146, 0.284157, 0.396633, 0.432749, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
14,  0.722222,  0.953727,  1, 0, 0.0103996, 0, 0.120739, 0.208288, 0.753383, 0, 0.285709, 1.21808, 0.88941, 0, 0, 0.296888, 0.197102, 0.522326, 0.643365, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
