frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.972504,  1, 1.16868, 0.129323, 1.25736, 0, 0.625537, 1.94341, 0.402631, 0.201418, 0, 0.382969, 0, 0.210815, 0.724063, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0
2,  0.0416667,  0.947933,  1, 0.880175, 0.244132, 1.21803, 0, 0.550214, 1.78781, 0.13421, 0.0671392, 0.0182984, 0.138798, 0, 0.633291, 0.553152, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
3,  0.0833333,  0.95545,  1, 0.577392, 0.358101, 1.19897, 0, 0.565605, 1.71515, 0, 0.068193, 0.070479, 0.0111415, 0, 0.813882, 0.481954, 0, 0, 0.0906774, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
4,  0.125,  0.953507,  1, 0.426017, 0.366998, 1.23446, 0, 0.638232, 1.70649, 0.00287937, 0.24327, 0.144395, 0, 0, 0.644518, 0.459528, 0, 0, 0.159537, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
5,  0.166667,  0.951439,  1, 0.407383, 0.34373, 1.24282, 0, 0.695175, 1.8106, 0.00287937, 0.358021, 0.20272, 0.0102776, 0, 0.636549, 0.440636, 0, 0, 0.232846, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
6,  0.208333,  0.951704,  1, 0.554445, 0.314979, 1.37392, 0, 0.699545, 1.81604, 0.00287937, 0.449087, 0.240508, 0.055077, 0, 0.636029, 0.469468, 0, 0, 0.220472, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
7,  0.25,  0.952802,  1, 0.696261, 0.311557, 1.48845, 0, 0.693693, 1.68213, 0.0387698, 0.391568, 0.26672, 0.088069, 0, 0.795795, 0.594004, 0, 0, 0.226342, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0
8,  0.291667,  0.952928,  1, 0.813645, 0.42628, 1.56708, 0, 0.713492, 1.62701, 0.0573065, 0.458166, 0.304571, 0.0777914, 0, 0.77385, 0.578553, 0, 0, 0.170307, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0
9,  0.333333,  0.954913,  1, 0.883702, 0.528883, 1.56884, 0.00350456, 0.71288, 1.61227, 0.0573065, 0.420349, 0.306922, 0.0682299, 0, 0.838334, 0.56352, 0, 0, 0.150625, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0
10,  0.375,  0.953744,  1, 0.874828, 0.685423, 1.62629, 0.00350456, 0.749954, 1.7256, 0.0185367, 0.467168, 0.327227, 0.101768, 0, 0.828113, 0.493956, 0, 0, 0.113362, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0
