frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.97646,  1, 0, 0, 0, 0, 2.18923, 1.13136, 0.817197, 1.22124, 2.09253, 1.17847, 0, 0, 0, 0, 2.64656, 0.82482, 0.487769, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
2,  0.0625,  0.972322,  1, 0, 0, 0.0195634, 0, 2.25784, 1.39312, 0.896062, 1.26867, 2.06279, 1.35278, 0, 0, 0, 0, 2.83736, 0.762495, 0.415147, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
3,  0.125,  0.966804,  1, 0, 0, 0.0406269, 0, 2.28496, 1.42672, 0.933215, 1.23766, 1.97562, 1.42532, 0, 0, 0.00859432, 0, 2.95399, 0.880755, 0.331283, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
4,  0.1875,  0.965088,  1, 0, 0, 0.0602796, 0, 2.25991, 1.19693, 0.961527, 1.1248, 1.88077, 1.37052, 0, 0, 0.013216, 0, 3.05974, 1.18639, 0.310148, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
5,  0.25,  0.964193,  1, 0, 0, 0.0407162, 0, 2.21951, 1.30875, 0.979832, 0.999932, 1.80048, 1.27543, 0, 0, 0.013216, 0, 2.96097, 1.29862, 0.276883, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
6,  0.3125,  0.958689,  1, 0, 0, 0.053795, 0, 2.16714, 1.36796, 1.01094, 0.969111, 1.77254, 1.17684, 0, 0, 0.00462165, 0, 2.99996, 1.26069, 0.304466, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
7,  0.375,  0.961115,  1, 0, 0, 0.0341424, 0, 2.18389, 1.29972, 1.06506, 1.11146, 1.74539, 1.10509, 0, 0, 0, 0, 3.01027, 1.26379, 0.26572, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
8,  0.4375,  0.965114,  1, 0, 0, 0.0435046, 0, 2.1866, 1.17801, 0.976726, 1.10631, 1.7456, 1.18523, 0, 0, 0, 0, 2.98053, 1.18765, 0.254917, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
9,  0.5,  0.96396,  1, 0.0227133, 0, 0.0518283, 0, 2.23153, 1.07156, 0.864115, 1.18647, 1.77775, 1.30689, 0, 0, 0, 0, 2.97209, 1.17999, 0.227857, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
10,  0.5625,  0.968241,  1, 0.0227133, 0, 0.0518283, 0, 2.20386, 1.17708, 0.738371, 1.08191, 1.8132, 1.41708, 0, 0, 0, 0, 2.86412, 1.12676, 0.249075, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
11,  0.625,  0.96222,  1, 0.119295, 0, 0.0553389, 0, 2.18099, 1.16167, 0.723189, 1.15797, 1.8597, 1.32565, 0, 0, 0, 0, 2.85976, 1.01691, 0.237879, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
12,  0.6875,  0.961627,  1, 0.096582, 0, 0.0128728, 0, 2.14751, 1.33336, 0.768444, 1.09928, 1.87221, 1.28235, 0, 0, 0, 0, 2.75943, 1.03537, 0.294949, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
13,  0.75,  0.968848,  1, 0.096582, 0, 0.0128728, 0, 2.1241, 1.4823, 0.827595, 1.21526, 1.93453, 1.35868, 0, 0, 0, 0, 2.76587, 0.86009, 0.299345, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
14,  0.8125,  0.974556,  1, 0, 0, 0.00537241, 0, 2.13643, 1.58113, 0.8691, 1.31345, 1.97748, 1.41525, 0, 0, 0, 0, 2.71766, 0.756401, 0.308302, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
15,  0.875,  0.975769,  1, 0, 0, 0.00537241, 0, 2.14116, 1.49788, 0.963954, 1.34233, 1.99221, 1.46463, 0, 0, 0, 0, 2.7263, 0.58495, 0.235625, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
16,  0.9375,  0.97519,  1, 0, 0, 0.00537241, 0.0202875, 2.18911, 1.45539, 0.922036, 1.24712, 1.98493, 1.40757, 0, 0, 0, 0, 2.70295, 0.521478, 0.222521, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
17,  1,  0.974063,  1, 0, 0, 0.000971606, 0.0202875, 2.18577, 1.37065, 0.861001, 1.1863, 1.91121, 1.42342, 0, 0.00160286, 0, 0, 2.60432, 0.517127, 0.232717, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
18,  1.0625,  0.975544,  1, 0, 0, 0.000971606, 0.0202875, 2.17444, 1.16794, 0.726582, 1.13526, 1.85848, 1.38205, 0, 0.00160286, 0.0426408, 0, 2.47684, 0.558491, 0.278126, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
19,  1.125,  0.976836,  1, 0.007562, 0, 0.000971606, 0, 2.16562, 0.992415, 0.744982, 1.11974, 1.78283, 1.44891, 0.0181217, 0.00160286, 0.0426408, 0, 2.3204, 0.558192, 0.297448, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
20,  1.1875,  0.976731,  1, 0.007562, 0, 0.00787584, 0, 2.16285, 0.906358, 0.802992, 1.00982, 1.71432, 1.56887, 0.0679522, 0, 0.0426408, 0, 2.19017, 0.738575, 0.309356, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
21,  1.25,  0.980727,  1, 0.007562, 0, 0.131772, 0, 2.13935, 1.09293, 0.951565, 0.990522, 1.64088, 1.57527, 0.0679522, 0.0250529, 0, 0, 2.07255, 0.810264, 0.570927, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
22,  1.3125,  0.973934,  1, 0.0689327, 0, 0.287265, 0, 1.99447, 1.07062, 1.01211, 0.925891, 1.54396, 1.6447, 0.0558681, 0.0250529, 0, 0, 2.0978, 0.844555, 1.14544, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
23,  1.375,  0.970095,  1, 0.14198, 0, 0.398791, 0, 1.82983, 1.0151, 1.06036, 0.882295, 1.46505, 1.71535, 0.0130329, 0.0250529, 0, 0, 2.13601, 0.82632, 1.69752, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
24,  1.4375,  0.969814,  1, 0.14198, 0, 0.281768, 0, 1.72842, 1.17581, 1.06359, 0.74002, 1.31998, 1.81347, 0.0130329, 0.148779, 0, 0, 1.95743, 0.74118, 1.80034, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
25,  1.5,  0.972643,  1, 0.0833926, 0, 0.126274, 0, 1.6901, 1.43424, 1.1178, 0.520406, 1.10189, 1.71929, 0.106534, 0.148779, 0.0164234, 0, 1.69338, 0.784037, 1.40949, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
26,  1.5625,  0.972092,  1, 0.0642919, 0, 0.0101366, 0, 1.67456, 1.67839, 1.1699, 0.421875, 0.910387, 1.53091, 0.185479, 0.197423, 0.0164234, 0, 1.50631, 0.785343, 0.992509, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
27,  1.625,  0.974805,  1, 0.0642919, 0, 0.00326467, 0, 1.56946, 1.43284, 1.1647, 0.389923, 0.809093, 1.54177, 0.31243, 0.202413, 0.0164234, 0, 1.45148, 0.935009, 0.744075, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1
28,  1.6875,  0.976805,  1, 0.0539465, 0, 0.00326467, 0, 1.45502, 1.16716, 1.14571, 0.348128, 0.684264, 1.49368, 0.300983, 0.286067, 0, 0, 1.44369, 1.13138, 0.616959, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1
