frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.958893,  1, 0.386851, 0, 0, 0, 0.0415559, 0, 0, 0, 0.060965, 0.101346, 0, 0.143621, 0, 0.225038, 0, 0, 0.474085, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1
2,  0.0625,  0.96056,  1, 0.397796, 0, 0, 0, 0.144826, 0.194695, 0, 0, 0.149702, 0.153797, 0, 0.208971, 0, 0.191433, 0, 0, 0.424119, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1
3,  0.125,  0.961961,  1, 0.374663, 0, 0, 0, 0.192883, 0.237234, 0, 0, 0.172631, 0.125889, 0, 0.265277, 0, 0.222879, 0, 0, 0.396069, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1
4,  0.1875,  0.958987,  1, 0.403099, 0, 0, 0, 0.252356, 0.133356, 0, 0, 0.190987, 0.0627642, 0, 0.202092, 0, 0.201616, 0, 0, 0.381039, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1
5,  0.25,  0.957761,  1, 0.463422, 0, 0, 0, 0.257134, 0.226658, 0, 0, 0.170649, 0.0411623, 0, 0.338178, 0, 0.225878, 0, 0, 0.377922, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
6,  0.3125,  0.963,  1, 0.577146, 0, 0, 0, 0.280968, 0.359219, 0, 0, 0.180103, 0.0656932, 0, 0.440395, 0, 0.130258, 0, 0, 0.346928, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
7,  0.375,  0.961379,  1, 0.593301, 0, 0, 0, 0.288145, 0.486231, 0, 0, 0.190935, 0.0962782, 0.0331833, 0.57479, 0, 0.100079, 0, 0, 0.306406, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
8,  0.4375,  0.967424,  1, 0.435913, 0, 0, 0, 0.302159, 0.627702, 0, 0, 0.266115, 0.111576, 0.105478, 0.623653, 0, 0.0803164, 0, 0, 0.225366, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0
9,  0.5,  0.964606,  1, 0.379911, 0, 0, 0, 0.316998, 0.594919, 0, 0, 0.33346, 0.113285, 0.105478, 0.695952, 0, 0.0694778, 0, 0, 0.177146, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0
10,  0.5625,  0.962472,  1, 0.330531, 0, 0, 0, 0.395474, 0.561299, 0.0259313, 0, 0.363123, 0.1252, 0.0722945, 0.732786, 0, 0.0536367, 0, 0.00213618, 0.146286, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0
11,  0.625,  0.960338,  1, 0.368045, 0, 0, 0, 0.42711, 0.442878, 0.0259313, 0, 0.353045, 0.177176, 0, 0.733545, 0, 0.0858498, 0.0516506, 0.0981869, 0.14458, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
12,  0.6875,  0.94651,  1, 0.33215, 0, 0, 0, 0.432534, 0.508718, 0.0428479, 0, 0.364862, 0.304739, 0, 0.45485, 0, 0.0858498, 0.230758, 0.176915, 0.176645, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
13,  0.75,  0.948047,  1, 0.304877, 0, 0, 0, 0.3869, 0.535619, 0.0222035, 0, 0.413123, 0.321129, 0, 0.212304, 0, 0.0798653, 0.491428, 0.361093, 0.260478, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
