frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.960394,  1, 0.667174, 0, 0, 0, 0.322541, 0, 0, 0, 1.27645, 1.35448, 0.271789, 0.447784, 0.0045796, 0, 0.100314, 0.672851, 0.160592, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
2,  0.05005,  0.960748,  1, 0.731255, 0.045518, 0, 0, 0.315686, 0, 0, 0, 1.32309, 1.30334, 0.144099, 0.535859, 0.0438526, 0, 0.0334379, 0.591495, 0.112584, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
3,  0.1001,  0.962621,  1, 0.768513, 0.045518, 0, 0, 0.297691, 0, 0, 0, 1.36112, 1.20872, 0.0535026, 0.520869, 0.106696, 0, 0, 0.375824, 0.112212, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0
4,  0.15015,  0.959379,  1, 0.83799, 0.0640406, 0, 0, 0.312552, 0, 0, 0, 1.44539, 1.26866, 0.107811, 0.668032, 0.138099, 0, 0, 0.332732, 0.0760662, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
5,  0.2002,  0.961153,  1, 0.799073, 0.0422269, 0, 0, 0.364189, 0, 0, 0, 1.46098, 1.26166, 0.0910244, 0.612566, 0.138099, 0.00618957, 0.021443, 0.41078, 0.0689788, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
6,  0.25025,  0.959128,  1, 0.74743, 0.0422269, 0, 0, 0.495451, 0, 0, 0.0483819, 1.57598, 1.33478, 0.152617, 0.580154, 0.0737292, 0.00618957, 0.021443, 0.4918, 0.0552965, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
7,  0.3003,  0.962802,  1, 0.622731, 0, 0, 0, 0.598853, 0, 0, 0.0483819, 1.59069, 1.34001, 0.0983084, 0.50808, 0.01774, 0.0497706, 0.021443, 0.377861, 0.0623506, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
8,  0.35035,  0.968424,  1, 0.599597, 0, 0, 0, 0.684375, 0, 0, 0.0483819, 1.62241, 1.32961, 0.187587, 0.393558, 0.0687907, 0.0997691, 0, 0.230707, 0.0714918, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
9,  0.4004,  0.967331,  1, 0.584814, 0, 0, 0, 0.677619, 0, 0, 0, 1.63671, 1.31284, 0.125995, 0.580914, 0.10208, 0.10464, 0.0479322, 0.33034, 0.0320157, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
10,  0.45045,  0.969074,  1, 0.538216, 0, 0, 0, 0.757244, 0, 0, 0.111992, 1.81957, 1.32915, 0.170979, 0.729697, 0.155696, 0.108664, 0.104764, 0.305428, 0.00914112, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
