frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.963566,  1, 1.88694, 2.82908, 0, 3.31007, 0, 0, 0, 0, 0, 0, 0, 0.230845, 0, 0, 0, 0.0111996, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
2,  0.0555556,  0.959897,  1, 1.70689, 2.36681, 0, 3.36267, 0, 0, 0, 0, 0, 0.034644, 0, 0.416758, 0.015486, 0.00183435, 0, 0.00373319, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
3,  0.111111,  0.959339,  1, 1.47319, 2.16685, 0, 3.09618, 0.00105005, 0, 0, 0, 0, 0.0961593, 0, 0.560809, 0.015486, 0.036619, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
4,  0.166667,  0.961507,  1, 1.31546, 2.03003, 0, 2.86718, 0.00105005, 0, 0, 0, 0, 0.0961593, 0, 0.551646, 0, 0.0489068, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
5,  0.222222,  0.965074,  1, 1.27711, 2.11651, 0, 2.61221, 0.00105005, 0, 0, 0, 0, 0.105381, 0.0688739, 0.568689, 0.0593923, 0.0584332, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
6,  0.277778,  0.963528,  1, 1.35474, 2.04162, 0, 2.6477, 0, 0, 0, 0, 0, 0.0438652, 0.0797766, 0.617336, 0.137635, 0.0431427, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
7,  0.333333,  0.963665,  1, 1.38027, 2.00588, 0, 2.54814, 0, 0, 0, 0, 0, 0.0438652, 0.0797766, 0.755747, 0.137635, 0.0563413, 0, 0.018362, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
8,  0.388889,  0.965875,  1, 1.34507, 1.94379, 0, 2.45021, 0, 0, 0, 0, 0, 0.0553392, 0.0347372, 0.784701, 0.0782423, 0.0685305, 0, 0.0244842, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0
9,  0.444444,  0.960691,  1, 1.3627, 1.97648, 0, 2.5366, 0.00517702, 0, 0, 0, 0, 0.131044, 0.0238345, 0.801091, 0, 0.112727, 0, 0.0244842, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
10,  0.5,  0.964304,  1, 1.41673, 2.23885, 0, 2.63378, 0.00517702, 0, 0, 0, 0, 0.143431, 0.0238345, 0.62888, 0, 0.106265, 0, 0.00612223, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
