frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.961401,  1, 0, 0, 0, 0, 0.191043, 0.121718, 0, 0, 0.0625175, 0.0501091, 0, 0, 0, 0, 0.995644, 0.0860338, 0.405976, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
2,  0.0833333,  0.961049,  1, 0, 0, 0, 0, 0.286427, 0.0858979, 0.00184307, 0, 0.0367327, 0.249825, 0, 0.0925464, 0, 0, 1.05363, 0.390138, 0.360333, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
3,  0.166667,  0.961971,  1, 0, 0, 0, 0, 0.370991, 0.0817244, 0.00184307, 0, 0.0283546, 0.385361, 0, 0.0925464, 0, 0, 0.91574, 0.501407, 0.324459, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1
4,  0.25,  0.955304,  1, 0, 0, 0, 0, 0.398416, 0.109302, 0.00184307, 0, 0.0892981, 0.395102, 0, 0.0530274, 0, 0, 0.703979, 0.474247, 0.37275, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
5,  0.333333,  0.964027,  1, 0.0485883, 0, 0, 0, 0.440272, 0.0639768, 0, 0, 0.127206, 0.428532, 0, 0.178103, 0, 0, 0.468533, 0.326894, 0.26615, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
6,  0.416667,  0.965587,  1, 0.0485883, 0, 0, 0, 0.43294, 0.0275776, 0, 0, 0.165358, 0.502331, 0, 0.271314, 0, 0.00634976, 0.468456, 0.310787, 0.23334, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
7,  0.5,  0.967484,  1, 0.0485883, 0, 0, 0, 0.456623, 0.217021, 0, 0, 0.171038, 0.736427, 0, 0.392746, 0, 0.013279, 0.364642, 0.326273, 0.156385, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0
8,  0.583333,  0.968681,  1, 0.0093326, 0, 0, 0, 0.519885, 0.362502, 0.0174257, 0, 0.23558, 0.879644, 0, 0.535883, 0, 0.013279, 0.263733, 0.341587, 0.181907, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0
9,  0.666667,  0.972786,  1, 0.0283783, 0, 0, 0, 0.571127, 0.427481, 0.0174257, 0, 0.2637, 1.00411, 0, 0.775344, 0, 0.0504296, 0.099651, 0.393665, 0.187665, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0
10,  0.75,  0.970523,  1, 0.0283783, 0, 0, 0, 0.60572, 0.21046, 0.0174257, 0, 0.25368, 1.04859, 0, 0.805509, 0, 0.0976371, 0.0368383, 0.355112, 0.199728, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0
