frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.86832,  1, 1.17879, 0, 0, 0.356329, 0.208996, 0, 0.703059, 0, 0.166038, 1.33448, 0.378576, 0.506913, 0, 0, 1.1343, 0.454658, 1.58932, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1
2,  0.05,  0.908411,  1, 1.20567, 0, 0.172907, 0.214762, 0.319793, 0, 0.830489, 0, 0.333797, 1.27936, 0.126192, 0.168971, 0, 0, 0.853572, 0.416855, 1.23781, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
3,  0.1,  0.918918,  1, 1.20992, 0, 0.172907, 0.0959854, 0.391175, 0, 0.832092, 0, 0.406914, 1.16753, 0, 0, 0, 0, 0.742699, 0.299238, 0.923536, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
4,  0.15,  0.923109,  1, 1.23827, 0, 0.0763676, 0.0445891, 0.351758, 0, 0.733643, 0, 0.417238, 1.1619, 0, 0, 0, 0, 0.597728, 0.341069, 0.662148, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
5,  0.2,  0.924079,  1, 1.3498, 0, 0, 0, 0.312602, 0, 0.638619, 0, 0.455685, 1.03677, 0, 0, 0, 0, 0.523612, 0.0757672, 0.496133, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
6,  0.25,  0.921859,  1, 1.43322, 0, 0, 0, 0.289175, 0, 0.59747, 0, 0.476517, 1.12286, 0.094389, 0, 0, 0, 0.508206, 0.0418317, 0.360492, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
7,  0.3,  0.925351,  1, 1.46292, 0, 0, 0, 0.305449, 0, 0.563575, 0, 0.482822, 1.14816, 0.217239, 0, 0, 0, 0.67565, 0, 0.301741, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
8,  0.35,  0.924593,  1, 1.45223, 0, 0, 0, 0.295691, 0, 0.505294, 0, 0.46841, 1.34675, 0.309897, 0, 0, 0, 0.728711, 0, 0.264132, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
9,  0.4,  0.922642,  1, 1.37369, 0, 0, 0, 0.298982, 0, 0.469877, 0, 0.52372, 1.24955, 0.263004, 0, 0.0285912, 0, 0.583593, 0, 0.28086, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
10,  0.45,  0.911516,  1, 1.28861, 0, 0, 0, 0.279398, 0, 0.508343, 0, 0.551907, 1.18252, 0.140153, 0, 0.080187, 0, 0.457575, 0, 0.235441, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
11,  0.5,  0.920201,  1, 1.21919, 0.0434815, 0, 0, 0.262544, 0, 0.489759, 0, 0.507404, 1.12836, 0.0474959, 0, 0.139695, 0, 0.332162, 0, 0.227379, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1
12,  0.55,  0.925695,  1, 1.20421, 0.0434815, 0, 0, 0.182933, 0, 0.499114, 0, 0.453034, 1.20399, 0, 0, 0.111103, 0, 0.301009, 0, 0.174859, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
13,  0.6,  0.920942,  1, 1.25387, 0.0900004, 0, 0, 0.16154, 0, 0.452883, 0, 0.459851, 1.21309, 0, 0, 0.072357, 0, 0.368082, 0, 0.14249, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0
14,  0.65,  0.912201,  1, 1.29773, 0.0465189, 0, 0, 0.211596, 0, 0.439578, 0, 0.533221, 1.19193, 0, 0, 0.0128493, 0, 0.453754, 0, 0.108066, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
15,  0.7,  0.924181,  1, 1.27945, 0.0858739, 0, 0.0306016, 0.261143, 0, 0.433888, 0, 0.596618, 1.28806, 0, 0, 0.0420844, 0, 0.574424, 0, 0.0985925, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
16,  0.75,  0.919433,  1, 1.20137, 0.0393549, 0, 0.0306016, 0.268499, 0, 0.354377, 0, 0.680528, 1.27857, 0, 0, 0.0292351, 0, 0.498355, 0, 0.0899709, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
17,  0.8,  0.913844,  1, 1.16352, 0.0393549, 0, 0.0306016, 0.256265, 0, 0.299078, 0, 0.70929, 1.31156, 0, 0, 0.0545927, 0, 0.418155, 0, 0.0845628, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
18,  0.85,  0.903942,  1, 1.18927, 0, 0, 0, 0.280427, 0, 0.186296, 0, 0.753272, 1.27461, 0, 0, 0.0340719, 0, 0.402874, 0, 0.0499716, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
19,  0.9,  0.905598,  1, 1.2249, 0.0862938, 0, 0, 0.255473, 0, 0.178688, 0, 0.745923, 1.31968, 0, 0, 0.0943972, 0, 0.448703, 0, 0.0366294, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
20,  0.95,  0.915215,  1, 1.21084, 0.11048, 0, 0.0972219, 0.244197, 0, 0.174219, 0, 0.777535, 1.36297, 0, 0, 0.124705, 0, 0.582182, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
21,  1,  0.913203,  1, 1.14072, 0.11048, 0, 0.0972219, 0.177454, 0, 0.201416, 0, 0.760141, 1.26107, 0, 0, 0.115991, 0, 0.435831, 0, 0.00259464, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0
22,  1.05,  0.917273,  1, 1.1112, 0.0241858, 0, 0.134798, 0.151117, 0, 0.196178, 0, 0.769547, 1.39705, 0.0149187, 0.0564269, 0.0556657, 0, 0.281348, 0, 0.00684372, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
23,  1.1,  0.928673,  1, 1.0503, 0.0376182, 0, 0.0375761, 0.0785485, 0, 0.156601, 0, 0.738426, 1.40484, 0.0149187, 0.0564269, 0, 0, 0.117576, 0, 0.00684372, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
24,  1.15,  0.950847,  1, 1.06354, 0.0376182, 0, 0.0375761, 0.0363184, 0, 0.0976765, 0, 0.784799, 1.62793, 0.0149187, 0.0564269, 0, 0, 0.193038, 0, 0.0394373, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
25,  1.2,  0.953033,  1, 1.1213, 0.0376182, 0, 0.0184627, 0.0322732, 0, 0.0809768, 0, 0.788992, 1.69282, 0, 0, 0.00960904, 0, 0.256629, 0, 0.0638623, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
